"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-14","88","56","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-15","84","55","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-16","87","57","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-17","84","56","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-18","80","51","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-19","79","52","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-20","83","50","67"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-21","83","58","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-22","79","51","59"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-23","76","48","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-24","75","61","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-25","75","49","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-26","72","41","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-27","74","41","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-28","76","42","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-29","76","44","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-30","81","44","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-01","81","48","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-02","78","45","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-03","77","47","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-04","76","43","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-05","75","43","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-06","69","46","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-07","68","53","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-08","76","49","57"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-09","72","48","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-10","65","44","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-11","63","41","43"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-12","61","34","46"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-13","63","35","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-14","66","42","43"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-15","59","40","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-16","58","36","43"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-17","64","39","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-18","62","38","42"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-19","62","34","42"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-20","59","33","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-21","62","38","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-22","56","35","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-23","56","45","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-24","74","48",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-25","72","51","59"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-26","67","52","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-27","62","47","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-28","55","41","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-29","52","36","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-30","53","46","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-12-31","64","46","51"
