"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08","WT09"
"USW00025333","SITKA AIRPORT, AK US","2021-07-22","9.17"," 2223","0.03",,"63","55","  110","  100","18.1","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-23","7.38"," 1405","0.31",,"61","56","  110","  210","17.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-24","5.59"," 0949","0.17",,"58","54","  180","  180","18.1","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-25","2.91"," 1134","0.08",,"59","52","  220","  220","6.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-26","3.80"," 1111","0.00",,"64","49","  220","  230","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-27","2.91"," 0034","0.03",,"62","57","  200","  200","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-28","5.82"," 1824","0.00",,"70","52","  310","  310","17.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-29","2.91"," 1132","0.00",,"70","52","  220","  220","8.9","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-30","3.58"," 1158","0.00",,"73","60","  230","  230","14.1","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-31","4.47"," 1623","0.00",,"66","48","  230","  230","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-01","3.58"," 0156","0.01",,"66","59","  220","  220","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-02","6.04"," 1306","0.05",,"62","55","  210","  210","16.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-03","4.92"," 1551","0.15",,"67","55","  110","  100","16.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-04","6.04"," 2042","0.40",,"65","60","  200","  190","18.1","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-05","5.14"," 1039","0.00",,"69","55","  220","  110","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-06","4.25"," 1134","0.04",,"63","55","  200","  210","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-07","6.71"," 1600","0.12",,"65","58","  290","  290","16.1","18.1","    1",,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-08-08","8.05"," 2007","0.76",,"63","57","  200","  110","18.1","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-09","8.72"," 0945","0.42",,"60","54","  250","  260","21.0","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-10","10.51"," 1136","0.20",,"60","55","  240","  230","21.9","29.1","    1",,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-08-11","5.59"," 2105","0.10",,"61","55","  220","  220","15.0","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-12","5.82"," 2155","0.20",,"65","59","  180","  170","17.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-13","11.18"," 0818","1.68",,"64","57","  170","  170","25.1","36.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-14","3.58"," 1744","0.27",,"60","52","  220","  230","10.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-15","3.13"," 0248","0.25",,"58","51","  320","  320","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-16","6.26"," 1537","0.00",,"64","53","  300","  300","18.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-17","7.38"," 1611","1.22",,"58","53","  110","  100","16.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-18","5.82"," 1025","0.42",,"59","56","  230","  230","14.1","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-19","2.91"," 1252","0.00",,"63","55","  230","  240","8.9","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-20","5.59"," 1500","0.01",,"61","55","  330","  330","16.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-21","7.16"," 1525","0.09",,"63","52","  290","  290","23.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-22","4.47"," 1338","0.00",,"68","49","  320","  280","17.0","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-23","3.36"," 1421","0.00",,"61","50","  310","  230","12.1","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-24","6.49"," 0554","0.75",,"59","56","  220","  220","18.1","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-25","3.13"," 0448","0.00",,"60","55","  330","  330","8.1","8.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-26","5.59"," 1413","0.05",,"63","55","  180","  180","13.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-27","8.50"," 2340","0.47",,"60","56","  110","  110","25.9","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-28","11.41"," 0146","1.64",,"60","51","  110","  110","23.9","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-29","4.92"," 0000","0.00",,"60","50","   90","   90","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-30","9.62"," 1703","0.00",,"65","52","  300","  290","21.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-08-31","7.38"," 0056","0.00",,"64","56","  330","  330","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-01","6.93"," 1410","0.18",,"61","56","  190","  210","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-02","7.38"," 0117","0.44",,"63","56","  110","  110","17.0","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-03","5.82"," 1624","0.37",,"60","57","  200","  210","17.0","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-04","3.58"," 2345","0.12",,"60","55","  280","  280","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-05","8.50"," 0542","0.58",,"59","56","  220","  210","15.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-06","3.36"," 0721","0.31",,"61","54","  110","  110","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-07","5.82"," 0907","0.49",,"64","54","  110","   40","18.1","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-08","5.37"," 1615","0.19",,"60","54","  290","  290","17.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-09","8.72"," 2351","0.11",,"61","54","  130","  120","23.9","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-10","15.43"," 0000","0.61",,"62","56","  130","  130","25.1","32.0","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-11","6.93"," 0430","1.62",,"58","55","  170","  180","19.9","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-12","6.93"," 1129","0.06",,"58","54","  210","  190","15.0","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-13","9.62"," 0506","0.29",,"58","51","  110","  100","21.9","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-14","6.71"," 1459","0.44",,"55","48","  260","  260","21.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-15","6.49"," 1238","0.24",,"55","48","  220","  220","18.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-16",,,"0.11",,"55","50","  130","  130","21.9","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-17","8.28"," 2009","0.07",,"56","48","  120","  130","23.9","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-18","1.12"," 1848","0.31",,"55","49","  310","  310","10.1","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-19","2.91"," 2158","0.00",,"57","48","  160","  160","10.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-20","16.11"," 0839","0.43",,"58","51","  100","  110","33.1","44.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-21","16.11"," 1912","0.73",,"57","47","  250","  260","31.1","40.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-22","10.74"," 0112","0.04",,"54","46","  230","  230","28.0","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-23","15.88"," 0741","0.46",,"60","52","  100","  100","29.1","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-24","10.51"," 0012","0.29",,"57","47","  230","  190","29.1","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-25","4.03"," 0347","0.11",,"53","45","  100","  100","12.1","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-26","4.25"," 1552","0.07",,"58","43","  130","  120","13.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-27","4.47"," 1507","0.40",,"51","46","  300","  310","15.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-28","10.07"," 2253","0.03",,"55","44","  100","  100","23.0","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-29","11.41"," 0429","0.09",,"55","49","  110","  110","29.1","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-09-30","10.29"," 2322","0.50",,"53","47","  170","  160","25.9","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-01","22.82"," 1744","2.71",,"53","47","  230","  170","46.1","74.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-02","13.87"," 0000","0.49",,"52","40","  230","  240","45.0","55.9",,,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-10-03","6.71"," 1538","0.37",,"48","37","  170","  160","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-04","3.80"," 1631","0.00",,"51","35","  330","  320","14.1","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-05","5.37"," 1451","0.00",,"52","34","  310","  320","17.0","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-06","4.92"," 2359","0.01",,"51","35","  110","  110","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-07","11.41"," 0926","0.27",,"52","46","  110","  110","23.9","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-08","12.97"," 1825","0.75",,"51","46","  100","  100","28.0","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-09","11.41"," 0211","0.60",,"51","43","  230","  220","28.0","33.1",,,,"    1","    1",
"USW00025333","SITKA AIRPORT, AK US","2021-10-10","5.59"," 0105","0.08",,"52","43","  100","  100","13.0","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-11","17.67"," 2119","0.93",,"48","44","  110","  110","42.9","53.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-12","14.76"," 1533","0.93",,"51","42","  230","  230","29.1","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-13","13.87"," 0417","0.85",,"50","45","  220","  100","25.9","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-14","9.40"," 0329","0.87",,"49","38","  220","  220","21.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-15","7.16"," 1556","0.19",,"49","38","  110","  160","14.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-16","4.70"," 1620","0.00",,"48","35","  330","  330","14.1","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-17","7.38"," 2046","0.00",,"48","33","  110","  110","21.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-18","19.46"," 2101","0.00",,"52","46","  110","  130","32.0","46.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-19","18.57"," 0724","0.00",,"55","50","  120","  130","28.0","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-20","14.99"," 0151","0.06",,"56","46","  110","  110","28.0","40.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-21","9.84"," 2003","0.06",,"56","44","  130","  120","21.9","27.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-22","16.11"," 0959","0.51",,"55","46","  180","  180","30.0","40.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-23","11.86"," 0313","0.06",,"51","42","  140","  130","23.0","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-24","3.13"," 0111","0.00",,"51","38","  110","  120","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-25","2.46"," 0828","0.00",,"49","36","  110","  100","8.1","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-26","7.61"," 1144","0.08",,"52","43","  110","  100","17.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-27","9.40"," 1520","1.46",,"47","37","  220","  160","25.1","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-28","9.40"," 2339","0.23",,"44","37","  110","  100","23.0","27.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-29","9.62"," 0434","0.40",,"44","38","  220","  120","23.0","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-30","8.72"," 1333","0.00",,"49","38","  110","  130","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-10-31","6.71"," 2337","0.00",,"54","36","  100","  100","16.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-01","10.96"," 2325","0.00",,"59","47","  110","  120","25.1","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-02","14.99"," 1904","0.05",,"55","47","  130","  140","23.9","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-03","6.93"," 0021","0.27",,"48","36","  250","  180","18.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-04","2.91"," 1749","0.26",,"46","34","  130","  130","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-05","8.28"," 1108","0.03",,"50","41","  120","  130","18.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-06","9.62"," 0643","0.36",,"48","32","  160","  180","23.9","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-07","6.93"," 2359","0.00",,"47","32","  110","  100","19.9","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-08","10.96"," 2252","0.00",,"46","39","  100","  110","21.9","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-09","6.49"," 0325","0.29",,"45","38","  110","  100","23.9","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-10","5.37"," 1041","0.03",,"44","35","  100","  120","10.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-11","15.66"," 1827","0.05",,"47","36","  120","  120","25.9","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-12","17.00"," 1405","0.91",,"47","37","  250","  240","36.0","48.1",,,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-11-13","6.26"," 0244","0.24",,"41","32","   80","  130","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-14","3.80"," 1833","0.21",,"42","32","  190","  190","17.0","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-15","5.14"," 2356","0.08",,"39","30","   80","   90","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-16","14.09"," 1725","0.56",,"46","34","  230","  180","30.0","42.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-17","12.53"," 0148","0.48",,"45","36","  220","  200","31.1","40.0",,,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-11-18","12.75"," 0623","0.18",,"42","31","  260","  260","32.0","45.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-19","4.92"," 0100","0.03",,"36","28","  180","  170","13.0","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-20","16.11"," 1515","0.26",,"46","27","  100","  100","36.0","49.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-21","14.54"," 0816","0.76",,"47","38","  180","  180","36.0","49.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-22","9.84"," 0901","0.21",,"42","34","  290","  290","25.1","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-23","9.62"," 2352","0.29",,"40","33","  110","  100","23.0","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-24","16.55"," 0426","0.29",,"46","40","  110","  100","32.0","42.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-25","11.86"," 2332","1.72",,"48","33","  230","  230","35.1","42.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-26","10.51"," 0348","0.18",,"39","33","  240","  220","33.1","45.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-27","5.82"," 0227","0.29",,"39","34","  110","  110","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-28","9.62"," 2129","0.25",,"37","31","  260","  240","28.0","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-29","13.87"," 1610","0.04",,"40","33","  110","  100","28.0","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-11-30","11.86"," 1804","0.70",,"44","36","  260","  240","25.1","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-01","15.21"," 1218","0.09",,"43","34","  230","  250","35.1","49.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-02","9.84"," 1829","0.60",,"38","31","  220","  130","21.0","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-03","6.49"," 0537","0.06",,"33","23","  120","  110","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-04","4.70"," 1230","0.02",,"33","21","  130","  130","10.1","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-05","7.38"," 1226","0.01",,"37","30","  110","  110","16.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-06","5.59"," 2355","0.00",,"37","27","  100","  100","21.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-07","16.33"," 1246","0.34",,"43","35","  250","  250","31.1","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-08","11.86"," 1231","0.23",,"40","35","  260","  270","23.9","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-09","10.07"," 0716","0.50",,"40","35","  280","  290","28.0","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-10","14.32"," 1057","0.43",,"42","32","  230","  220","32.0","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-11","9.40"," 2315","0.10",,"36","30","  100","  100","25.1","36.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-12","10.96"," 0007","0.01",,"37","32","  110","  110","25.1","36.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-13","4.25"," 0231","0.00",,"35","23","   80","   70","25.1","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-14","4.03"," 1200","0.00",,"32","22","  100","  100","21.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-15","2.68"," 2359","0.05",,"35","23","  340","  340","10.1","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-16","4.70"," 2331","0.04",,"36","32","  100","  110","15.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-17","6.71"," 0952","0.00",,"39","34","  110","  120","16.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-18","4.25"," 1349","0.00",,"38","26","  340","  330","15.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-19","3.58"," 1324","0.00",,"39","25","  310","  320","12.1","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-20","5.14"," 2254","0.00",,"37","23","  120","  130","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-21","8.95"," 1949","0.89",,"39","33","   20","   40","25.1","36.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-22","7.16"," 0143","0.00",,"38","22","  340","   10","23.0","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-23","5.14"," 2143","0.04",,"32","26","   20","   20","23.9","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-24","9.84"," 1647","0.00",,"30","22","  330","  350","25.1","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-25","4.70"," 0111","0.00",,"26","16","   20","   10","21.9","36.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-26","5.37"," 2343","0.01",,"31","17","  100","  100","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-27","8.50"," 0130","0.01",,"35","29","  320","  110","19.9","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-28","4.25"," 2301","0.00",,"35","27","  110","  100","10.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-29","10.07"," 1649","0.09",,"41","31","  330","  320","28.0","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-30","3.36"," 1447","0.00",,"38","26","  330","  320","10.1","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-12-31","12.53"," 1643","1.00",,"39","31","  110","  110","23.9","30.0",,,,,,
